FROM ZONE,TO ZONE,0.3kg,0.5kg,1kg,2kg,3kg,4kg,5kg,6kg,7kg,8kg,9kg,10kg,11kg,12kg,13kg,14kg,15kg,16kg,17kg,18kg,19kg,20kg,21kg,22kg,23kg,24kg,25kg,26kg,27kg,28kg,29kg,30kg,31kg,32kg,33kg,34kg,35kg,36kg,37kg,38kg,39kg,40kg
TVL,CBR,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,CCT,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,26.3031,30.9858,35.6685,40.3512,45.0339,49.7166,54.3993,59.082,63.7647,68.4474,73.1301,77.8128,82.4955,87.1782,91.8609,96.5436,101.2263,105.909,110.5917,115.2744,128.9571,133.6398,138.3225,143.0052,147.6879,152.3706,157.0533,161.736,166.4187,171.1014,175.7841,180.4668,185.1495,189.8322,194.5149
TVL,MEL,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,NEW,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,OAG,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,PQQ,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,WOL,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,26.3031,30.9858,35.6685,40.3512,45.0339,49.7166,54.3993,59.082,63.7647,68.4474,73.1301,77.8128,82.4955,87.1782,91.8609,96.5436,101.2263,105.909,110.5917,115.2744,128.9571,133.6398,138.3225,143.0052,147.6879,152.3706,157.0533,161.736,166.4187,171.1014,175.7841,180.4668,185.1495,189.8322,194.5149
TVL,YNG,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,32.9079,38.5581,44.2083,49.8585,55.5087,61.1589,66.8091,72.4593,78.1095,83.7597,89.4099,95.0601,100.7103,106.3605,112.0107,117.6609,123.3111,128.9613,134.6115,149.2617,154.9119,160.5621,166.2123,171.8625,177.5127,183.1629,188.8131,194.4633,200.1135,205.7637,211.4139,217.0641,222.7143,228.3645
TVL,ALB,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
TVL,GEE,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,ADL,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
TVL,BEN,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
TVL,DPO,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
TVL,LAU,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
TVL,TAS,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
TVL,PER,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,28.1994,33.8496,39.4998,45.15,50.8002,56.4504,62.1006,67.7508,73.401,79.0512,84.7014,90.3516,96.0018,101.652,107.3022,112.9524,118.6026,124.2528,129.903,135.5532,150.2034,155.8536,161.5038,167.154,172.8042,178.4544,184.1046,189.7548,195.405,201.0552,206.7054,212.3556,218.0058,223.656,229.3062
WOL,WOL,6.744,6.744,6.864,6.996,7.104,7.284,7.488,7.596,7.728,7.86,7.992,8.124,8.256,8.388,8.52,8.652,8.784,8.916,9.048,9.18,9.312,9.444,9.576,9.708,9.84,9.972,10.104,19.236,19.368,19.5,19.632,19.764,19.896,20.028,20.16,20.292,20.424,20.556,20.688,20.82,20.952,21.084
WOL,SHT,6.744,6.744,6.864,6.996,7.104,7.284,7.488,7.596,7.728,7.86,7.992,8.124,8.256,8.388,8.52,8.652,8.784,8.916,9.048,9.18,9.312,9.444,9.576,9.708,9.84,9.972,10.104,19.236,19.368,19.5,19.632,19.764,19.896,20.028,20.16,20.292,20.424,20.556,20.688,20.82,20.952,21.084
WOL,CCT,8.64,8.64,8.76,8.952,9.132,9.384,9.624,10.476,11.028,11.58,12.132,12.684,13.236,13.788,14.34,14.892,15.444,15.996,16.548,17.1,17.652,18.204,18.756,19.308,19.86,20.412,20.964,30.516,31.068,31.62,32.172,32.724,33.276,33.828,34.38,34.932,35.484,36.036,36.588,37.14,37.692,38.244
WOL,NEW,8.64,8.64,8.76,8.952,9.132,9.384,9.624,10.476,11.028,11.58,12.132,12.684,13.236,13.788,14.34,14.892,15.444,15.996,16.548,17.1,17.652,18.204,18.756,19.308,19.86,20.412,20.964,30.516,31.068,31.62,32.172,32.724,33.276,33.828,34.38,34.932,35.484,36.036,36.588,37.14,37.692,38.244
WOL,SYD,8.148,8.148,8.268,8.4,8.52,8.712,8.892,9,9.312,9.624,9.936,10.248,10.56,10.872,11.184,11.496,11.808,12.12,12.432,12.744,13.056,13.368,13.68,13.992,14.304,14.616,14.928,24.24,24.552,24.864,25.176,25.488,25.8,26.112,26.424,26.736,27.048,27.36,27.672,27.984,28.296,28.608
WOL,ALB,8.46,8.46,8.58,8.76,8.952,9.192,9.444,11.028,12.012,12.996,13.98,14.964,15.948,16.932,17.916,18.9,19.884,20.868,21.852,22.836,23.82,24.804,25.788,26.772,27.756,28.74,29.724,39.708,40.692,41.676,42.66,43.644,44.628,45.612,46.596,47.58,48.564,49.548,50.532,51.516,52.5,53.484
