SUBURB,POSTCODE,STATE,ZONE
MINTO HEIGHTS,2566,NSW,SYD
RABY,2566,NSW,SYD
ST ANDREWS,2566,NSW,SYD
VARROVILLE,2566,NSW,SYD
CURRANS HILL,2567,NSW,SYD
HARRINGTON PARK,2567,NSW,SYD
MOUNT ANNAN,2567,NSW,SYD
NARELLAN,2567,NSW,SYD
NARELLAN VALE,2567,NSW,SYD
SMEATON GRANGE,2567,NSW,SYD
CAMDEN,2570,NSW,SYD
CAMDEN PARK,2570,NSW,SYD
CAMDEN SOUTH,2570,NSW,SYD
COBBITTY,2570,NSW,SYD
ELDERSLIE,2570,NSW,SYD
KIRKHAM,2570,NSW,SYD
ORAN PARK,2570,NSW,SYD
SPRING FARM,2570,NSW,SYD
BALMORAL VILLAGE,2571,NSW,WOL
BUXTON,2571,NSW,WOL
COURIDJAH,2571,NSW,WOL
MALDON,2571,NSW,WOL
PICTON,2571,NSW,WOL
WILTON,2571,NSW,WOL
THIRLMERE,2572,NSW,WOL
TAHMOOR,2573,NSW,WOL
BARGO,2574,NSW,WOL
YANDERRA,2574,NSW,WOL
ALPINE,2575,NSW,WOL
AYLMERTON,2575,NSW,WOL
BALACLAVA,2575,NSW,WOL
BRAEMAR,2575,NSW,WOL
COLO VALE,2575,NSW,WOL
HILL TOP,2575,NSW,WOL
MITTAGONG,2575,NSW,WOL
RENWICK,2575,NSW,WOL
WELBY,2575,NSW,WOL
WILLOW VALE,2575,NSW,WOL
YERRINBOOL,2575,NSW,WOL
BOWRAL,2576,NSW,WOL
BURRADOO,2576,NSW,WOL
EAST BOWRAL,2576,NSW,WOL
BERRIMA,2577,NSW,WOL
BURRAWANG,2577,NSW,WOL
MOSS VALE,2577,NSW,WOL
NEW BERRIMA,2577,NSW,WOL
ROBERTSON,2577,NSW,WOL
SUTTON FOREST,2577,NSW,WOL
BUNDANOON,2578,NSW,WOL
EXETER,2579,NSW,WOL
KOMUNGLA,2580,ACT,CBR
COOTAMUNDRA,2590,NSW,YNG
YOUNG,2594,NSW,YNG
BARTON,2600,ACT,CBR
CANBERRA,2600,ACT,CBR
CAPITAL HILL,2600,ACT,CBR
DEAKIN,2600,ACT,CBR
DEAKIN WEST,2600,ACT,CBR
DUNTROON,2600,ACT,CBR
FAIRBAIRN RAAF,2600,ACT,CBR
HARMAN,2600,ACT,CBR
HMAS HARMAN,2600,ACT,CBR
PARKES,2600,ACT,CBR
PARLIAMENT HOUSE,2600,ACT,CBR
RUSSELL,2600,ACT,CBR
RUSSELL HILL,2600,ACT,CBR
YARRALUMLA,2600,ACT,CBR
ACTON,2601,ACT,CBR
BLACK MOUNTAIN,2601,ACT,CBR
CANBERRA,2601,ACT,CBR
CITY,2601,ACT,CBR
AINSLIE,2602,ACT,CBR
DICKSON,2602,ACT,CBR
DOWNER,2602,ACT,CBR
HACKETT,2602,ACT,CBR
LYNEHAM,2602,ACT,CBR
O'CONNOR,2602,ACT,CBR
WATSON,2602,ACT,CBR
FORREST,2603,ACT,CBR
GRIFFITH,2603,ACT,CBR
MANUKA,2603,ACT,CBR
RED HILL,2603,ACT,CBR
CAUSEWAY,2604,ACT,CBR
KINGSTON,2604,ACT,CBR
NARRABUNDAH,2604,ACT,CBR
CURTIN,2605,ACT,CBR
GARRAN,2605,ACT,CBR
HUGHES,2605,ACT,CBR
CHIFLEY,2606,ACT,CBR
LYONS,2606,ACT,CBR
O'MALLEY,2606,ACT,CBR
PHILLIP,2606,ACT,CBR
PHILLIP DC,2606,ACT,CBR
SWINGER HILL,2606,ACT,CBR
WODEN,2606,ACT,CBR
FARRER,2607,ACT,CBR
ISAACS,2607,ACT,CBR
MAWSON,2607,ACT,CBR
PEARCE,2607,ACT,CBR
TORRENS,2607,ACT,CBR
CIVIC SQUARE,2608,ACT,CBR
CANBERRA AIRPORT,2609,ACT,CBR
CANBERRA INTERNATIONAL AIRPORT,2609,ACT,CBR
FYSHWICK,2609,ACT,CBR
MAJURA,2609,ACT,CBR
PIALLIGO,2609,ACT,CBR
SYMONSTON,2609,ACT,CBR
CANBERRA BC,2610,ACT,CBR
CANBERRA MC,2610,ACT,CBR
CHAPMAN,2611,ACT,CBR
COOMBS,2611,ACT,CBR
DENMAN PROSPECT,2611,ACT,CBR
DUFFY,2611,ACT,CBR
FISHER,2611,ACT,CBR
HOLDER,2611,ACT,CBR
MOLONGLO VALLEY,2611,ACT,CBR
RIVETT,2611,ACT,CBR
STIRLING,2611,ACT,CBR
WARAMANGA,2611,ACT,CBR
WESTON,2611,ACT,CBR
WESTON CREEK,2611,ACT,CBR
WRIGHT,2611,ACT,CBR
BRADDON,2612,ACT,CBR
CAMPBELL,2612,ACT,CBR
REID,2612,ACT,CBR
TURNER,2612,ACT,CBR
ARANDA,2614,ACT,CBR
COOK,2614,ACT,CBR
HAWKER,2614,ACT,CBR
JAMISON CENTRE,2614,ACT,CBR
MACQUARIE,2614,ACT,CBR
PAGE,2614,ACT,CBR
SCULLIN,2614,ACT,CBR
WEETANGERA,2614,ACT,CBR
CHARNWOOD,2615,ACT,CBR
DUNLOP,2615,ACT,CBR
FLOREY,2615,ACT,CBR
FLYNN,2615,ACT,CBR
FRASER,2615,ACT,CBR
HIGGINS,2615,ACT,CBR
HOLT,2615,ACT,CBR
KIPPAX,2615,ACT,CBR
KIPPAX CENTRE,2615,ACT,CBR
LATHAM,2615,ACT,CBR
MACGREGOR,2615,ACT,CBR
MELBA,2615,ACT,CBR
SPENCE,2615,ACT,CBR
STRATHNAIRN,2615,ACT,CBR
BELCONNEN,2616,ACT,CBR
BELCONNEN,2617,ACT,CBR
BELCONNEN DC,2617,ACT,CBR
BRUCE,2617,ACT,CBR
EVATT,2617,ACT,CBR
GIRALANG,2617,ACT,CBR
KALEEN,2617,ACT,CBR
LAWSON,2617,ACT,CBR
MCKELLAR,2617,ACT,CBR
UNIVERSITY OF CANBERRA,2617,ACT,CBR
HALL,2618,ACT,CBR
JERRABOMBERRA,2619,ACT,CBR
BEARD,2620,ACT,CBR
CRESTWOOD,2620,ACT,CBR
DODSWORTH,2620,ACT,CBR
ENVIRONA,2620,ACT,CBR
GOOGONG,2620,ACT,CBR
GREENLEIGH,2620,ACT,CBR
HUME,2620,ACT,CBR
KARABAR,2620,ACT,CBR
OAKS ESTATE,2620,ACT,CBR
QUEANBEYAN,2620,ACT,CBR
QUEANBEYAN DC,2620,ACT,CBR
QUEANBEYAN EAST,2620,ACT,CBR
QUEANBEYAN WEST,2620,ACT,CBR
THE RIDGEWAY,2620,ACT,CBR
TRALEE,2620,ACT,CBR
ALBURY,2640,NSW,ALB
EAST ALBURY,2640,NSW,ALB
ETTAMOGAH,2640,NSW,ALB
GLENROY,2640,NSW,ALB
LAVINGTON DC,2640,NSW,ALB
NORTH ALBURY,2640,NSW,ALB
SOUTH ALBURY,2640,NSW,ALB
SPLITTERS CREEK,2640,NSW,ALB
TABLE TOP,2640,NSW,ALB
THURGOONA,2640,NSW,ALB
WEST ALBURY,2640,NSW,ALB
WIRLINGA,2640,NSW,ALB
HAMILTON VALLEY,2641,NSW,ALB
LAVINGTON,2641,NSW,ALB
SPRINGDALE HEIGHTS,2641,NSW,ALB
JINDERA,2642,NSW,ALB
HOWLONG,2643,NSW,ALB
COROWA,2646,NSW,ALB
MULWALA,2647,NSW,ALB
ASHMONT,2650,NSW,YNG
BOMEN,2650,NSW,YNG
BOOROOMA,2650,NSW,YNG
BOURKELANDS,2650,NSW,YNG
CARTWRIGHTS HILL,2650,NSW,YNG
EAST WAGGA WAGGA,2650,NSW,YNG
ESTELLA,2650,NSW,YNG
GLENFIELD PARK,2650,NSW,YNG
GOBBAGOMBALIN,2650,NSW,YNG
KOORINGAL,2650,NSW,YNG
LAKE ALBERT,2650,NSW,YNG
LLOYD,2650,NSW,YNG
MOORONG,2650,NSW,YNG
MOUNT AUSTIN,2650,NSW,YNG
NORTH WAGGA WAGGA,2650,NSW,YNG
SOUTH WAGGA WAGGA,2650,NSW,YNG
SPRINGVALE,2650,NSW,YNG
TATTON,2650,NSW,YNG
TOLLAND,2650,NSW,YNG
TURVEY PARK,2650,NSW,YNG
WAGGA WAGGA,2650,NSW,YNG
WAGGA WAGGA BC,2650,NSW,YNG
WAGGA WAGGA NORTH,2650,NSW,YNG
WAGGA WAGGA SOUTH,2650,NSW,YNG
FOREST HILL,2651,NSW,YNG
WAGGA WAGGA RAAF,2651,NSW,YNG
GUMLY GUMLY,2652,NSW,YNG
CHARLES STURT UNIVERSITY,2678,NSW,YNG
BEELBANGERA,2680,NSW,YNG
BILBUL,2680,NSW,YNG
GRIFFITH,2680,NSW,YNG
GRIFFITH DC,2680,NSW,YNG
GRIFFITH EAST,2680,NSW,YNG
HANWOOD,2680,NSW,YNG
THARBOGANG,2680,NSW,YNG
YOOGALI,2680,NSW,YNG
YENDA,2681,NSW,YNG
LEETON,2705,NSW,YNG
ALBURY MSC,2708,NSW,ALB
MURRAY REGION MC,2708,NSW,ALB
GLENMORE PARK,2745,NSW,SYD
LUDDENHAM,2745,NSW,SYD
REGENTVILLE,2745,NSW,SYD
GREENDALE,2745,NSW,SYD
MULGOA,2745,NSW,SYD
WALLACIA,2745,NSW,SYD
CADDENS,2747,NSW,SYD
CAMBRIDGE GARDENS,2747,NSW,SYD
CAMBRIDGE PARK,2747,NSW,SYD
CLAREMONT MEADOWS,2747,NSW,SYD
JORDAN SPRINGS,2747,NSW,SYD
KINGSWOOD,2747,NSW,SYD
LLANDILO,2747,NSW,SYD
SHANES PARK,2747,NSW,SYD
WERRINGTON,2747,NSW,SYD
WERRINGTON COUNTY,2747,NSW,SYD
WERRINGTON DOWNS,2747,NSW,SYD
ORCHARD HILLS,2748,NSW,SYD
CASTLEREAGH,2749,NSW,SYD
CRANEBROOK,2749,NSW,SYD
EMU HEIGHTS,2750,NSW,SYD
EMU PLAINS,2750,NSW,SYD
JAMISONTOWN,2750,NSW,SYD
LEONAY,2750,NSW,SYD
PENRITH,2750,NSW,SYD
PENRITH PLAZA,2750,NSW,SYD
PENRITH SOUTH,2750,NSW,SYD
SOUTH PENRITH,2750,NSW,SYD
PENRITH,2751,NSW,SYD
SILVERDALE,2752,NSW,SYD
WARRAGAMBA,2752,NSW,SYD
AGNES BANKS,2753,NSW,SYD
HOBARTVILLE,2753,NSW,SYD
LONDONDERRY,2753,NSW,SYD
RICHMOND,2753,NSW,SYD
NORTH RICHMOND,2754,NSW,SYD
BLIGH PARK,2756,NSW,SYD
CLARENDON,2756,NSW,SYD
MCGRATHS HILL,2756,NSW,SYD
MULGRAVE,2756,NSW,SYD
PITT TOWN,2756,NSW,SYD
SOUTH WINDSOR,2756,NSW,SYD
WINDSOR,2756,NSW,SYD
WINDSOR DOWNS,2756,NSW,SYD
ERSKINE PARK,2759,NSW,SYD
SAINT CLAIR,2759,NSW,SYD
ST CLAIR,2759,NSW,SYD
COLYTON,2760,NSW,SYD
NORTH SAINT MARYS,2760,NSW,SYD
NORTH ST MARYS,2760,NSW,SYD
OXLEY PARK,2760,NSW,SYD
ROPES CROSSING,2760,NSW,SYD
ST MARYS,2760,NSW,SYD
ST MARYS EAST,2760,NSW,SYD
ST MARYS SOUTH,2760,NSW,SYD
COLEBEE,2761,NSW,SYD
DEAN PARK,2761,NSW,SYD
GLENDENNING,2761,NSW,SYD
GLENDENNING DC,2761,NSW,SYD
HASSALL GROVE,2761,NSW,SYD
OAKHURST,2761,NSW,SYD
PLUMPTON,2761,NSW,SYD
SCHOFIELDS,2762,NSW,SYD
TALLAWONG,2762,NSW,SYD
ACACIA GARDENS,2763,NSW,SYD
NIRIMBA FIELDS,2763,NSW,SYD
QUAKERS HILL,2763,NSW,SYD
ANGUS,2765,NSW,SYD
BERKSHIRE PARK,2765,NSW,SYD
BOX HILL,2765,NSW,SYD
GABLES,2765,NSW,SYD
GRANTHAM FARM,2765,NSW,SYD
MARSDEN PARK,2765,NSW,SYD
MELONBA,2765,NSW,SYD
NELSON,2765,NSW,SYD
OAKVILLE,2765,NSW,SYD
RICHARDS,2765,NSW,SYD
RIVERSTONE,2765,NSW,SYD
VINEYARD,2765,NSW,SYD
EASTERN CREEK,2766,NSW,SYD
ROOTY HILL,2766,NSW,SYD
BUNGARRIBEE,2767,NSW,SYD
DOONSIDE,2767,NSW,SYD
WOODCROFT,2767,NSW,SYD
GLENWOOD,2768,NSW,SYD
PARKLEA,2768,NSW,SYD
STANHOPE GARDENS,2768,NSW,SYD
THE PONDS,2769,NSW,SYD
BIDWILL,2770,NSW,SYD
BLACKETT,2770,NSW,SYD
DHARRUK,2770,NSW,SYD
EMERTON,2770,NSW,SYD
HEBERSHAM,2770,NSW,SYD
LETHBRIDGE PARK,2770,NSW,SYD
MINCHINBURY,2770,NSW,SYD
MOUNT DRUITT,2770,NSW,SYD
MOUNT DRUITT VILLAGE,2770,NSW,SYD
SHALVEY,2770,NSW,SYD
TREGEAR,2770,NSW,SYD
WHALAN,2770,NSW,SYD
WILLMOT,2770,NSW,SYD
GLENBROOK,2773,NSW,SYD
LAPSTONE,2773,NSW,SYD
BLAXLAND,2774,NSW,SYD
BLAXLAND EAST,2774,NSW,SYD
MOUNT RIVERVIEW,2774,NSW,SYD
WARRIMOO,2774,NSW,SYD
FAULCONBRIDGE,2776,NSW,SYD
SPRINGWOOD,2777,NSW,SYD
SUN VALLEY,2777,NSW,SYD
VALLEY HEIGHTS,2777,NSW,SYD
WINMALEE,2777,NSW,SYD
YELLOW ROCK,2777,NSW,SYD
BULLS CAMP,2778,NSW,SYD
LINDEN,2778,NSW,SYD
WOODFORD,2778,NSW,SYD
HAZELBROOK,2779,NSW,SYD
MEDLOW BATH,2780,NSW,SYD
KATOOMBA,2780,NSW,SYD
KATOOMBA DC,2780,NSW,SYD
LEURA,2780,NSW,SYD
WENTWORTH FALLS,2782,NSW,SYD
LAWSON,2783,NSW,SYD
BULLABURRA,2784,NSW,SYD
BLACKHEATH,2785,NSW,SYD
MOUNT VICTORIA,2786,NSW,SYD
COWRA,2794,NSW,YNG
ABERCROMBIE,2795,NSW,OAG
BATHURST,2795,NSW,OAG
CHARLES STURT UNIVERSITY,2795,NSW,OAG
EGLINTON,2795,NSW,OAG
GORMANS HILL,2795,NSW,OAG
KELSO,2795,NSW,OAG
LLANARTH,2795,NSW,OAG
MITCHELL,2795,NSW,OAG
MOUNT PANORAMA,2795,NSW,OAG
RAGLAN,2795,NSW,OAG
ROBIN HILL,2795,NSW,OAG
SOUTH BATHURST,2795,NSW,OAG
WEST BATHURST,2795,NSW,OAG
WHITE ROCK,2795,NSW,OAG
WINDRADYNE,2795,NSW,OAG
BATHURST MC,2796,NSW,OAG
BLETCHINGTON,2800,NSW,OAG
BLOOMFIELD,2800,NSW,OAG
BOWEN,2800,NSW,OAG
CALARE,2800,NSW,OAG
CANOBOLAS,2800,NSW,OAG
CLIFTON GROVE,2800,NSW,OAG
GLENROI,2800,NSW,OAG
HUNTLEY,2800,NSW,OAG
LUCKNOW,2800,NSW,OAG
NARRAMBLA,2800,NSW,OAG
NASHDALE,2800,NSW,OAG
ORANGE,2800,NSW,OAG
ORANGE DC,2800,NSW,OAG
ORANGE EAST,2800,NSW,OAG
SPRING CREEK,2800,NSW,OAG
SUMA PARK,2800,NSW,OAG
SYDNEY GATEWAY FACILITY,2891,NSW,SYD
GREENWAY,2900,ACT,CBR
TUGGERANONG,2900,ACT,CBR
TUGGERANONG DC,2901,ACT,CBR
KAMBAH,2902,ACT,CBR
KAMBAH VILLAGE,2902,ACT,CBR
ERINDALE CENTRE,2903,ACT,CBR
OXLEY,2903,ACT,CBR
WANNIASSA,2903,ACT,CBR
FADDEN,2904,ACT,CBR
GOWRIE,2904,ACT,CBR
MACARTHUR,2904,ACT,CBR
MONASH,2904,ACT,CBR
BONYTHON,2905,ACT,CBR
CALWELL,2905,ACT,CBR
CHISHOLM,2905,ACT,CBR
GILMORE,2905,ACT,CBR
ISABELLA PLAINS,2905,ACT,CBR
RICHARDSON,2905,ACT,CBR
THEODORE,2905,ACT,CBR
BANKS,2906,ACT,CBR
CONDER,2906,ACT,CBR
GORDON,2906,ACT,CBR
CRACE,2911,ACT,CBR
MITCHELL,2911,ACT,CBR
GUNGAHLIN,2912,ACT,CBR
CASEY,2913,ACT,CBR
FRANKLIN,2913,ACT,CBR
GINNINDERRA VILLAGE,2913,ACT,CBR
NGUNNAWAL,2913,ACT,CBR
NICHOLLS,2913,ACT,CBR
PALMERSTON,2913,ACT,CBR
TAYLOR,2913,ACT,CBR
AMAROO,2914,ACT,CBR
BONNER,2914,ACT,CBR
FORDE,2914,ACT,CBR
HARRISON,2914,ACT,CBR
JACKA,2914,ACT,CBR
MONCRIEFF,2914,ACT,CBR
THROSBY,2914,ACT,CBR
MELBOURNE,3000,VIC,MEL
MELBOURNE,3001,VIC,MEL
EAST MELBOURNE,3002,VIC,MEL
WEST MELBOURNE,3003,VIC,MEL
MELBOURNE,3004,VIC,MEL
ST KILDA ROAD CENTRAL,3004,VIC,MEL
WORLD TRADE CENTRE,3005,VIC,MEL
SOUTH WHARF,3006,VIC,MEL
SOUTHBANK,3006,VIC,MEL
DOCKLANDS,3008,VIC,MEL
UNIVERSITY OF MELBOURNE,3010,VIC,MEL
FOOTSCRAY,3011,VIC,MEL
SEDDON,3011,VIC,MEL
SEDDON WEST,3011,VIC,MEL
BROOKLYN,3012,VIC,MEL
KINGSVILLE,3012,VIC,MEL
KINGSVILLE WEST,3012,VIC,MEL
MAIDSTONE,3012,VIC,MEL
TOTTENHAM,3012,VIC,MEL
WEST FOOTSCRAY,3012,VIC,MEL
YARRAVILLE,3013,VIC,MEL
YARRAVILLE WEST,3013,VIC,MEL
NEWPORT,3015,VIC,MEL
SOUTH KINGSVILLE,3015,VIC,MEL
SPOTSWOOD,3015,VIC,MEL
WILLIAMSTOWN,3016,VIC,MEL
WILLIAMSTOWN NORTH,3016,VIC,MEL
ALTONA,3018,VIC,MEL
SEAHOLME,3018,VIC,MEL
BRAYBROOK,3019,VIC,MEL
BRAYBROOK NORTH,3019,VIC,MEL
ROBINSON,3019,VIC,MEL
ALBION,3020,VIC,MEL
GLENGALA,3020,VIC,MEL
SUNSHINE,3020,VIC,MEL
SUNSHINE NORTH,3020,VIC,MEL
SUNSHINE WEST,3020,VIC,MEL
ALBANVALE,3021,VIC,MEL
KEALBA,3021,VIC,MEL
KINGS PARK,3021,VIC,MEL
ST ALBANS,3021,VIC,MEL
ARDEER,3022,VIC,MEL
DEER PARK EAST,3022,VIC,MEL
BURNSIDE,3023,VIC,MEL
BURNSIDE HEIGHTS,3023,VIC,MEL
CAIRNLEA,3023,VIC,MEL
CAROLINE SPRINGS,3023,VIC,MEL
DEER PARK,3023,VIC,MEL
DEER PARK NORTH,3023,VIC,MEL
RAVENHALL,3023,VIC,MEL
MANOR LAKES,3024,VIC,MEL
TRUGANINA,3024,VIC,MEL
WYNDHAM VALE,3024,VIC,MEL
ALTONA EAST,3025,VIC,MEL
ALTONA GATE,3025,VIC,MEL
ALTONA NORTH,3025,VIC,MEL
DERRIMUT,3026,VIC,MEL
LAVERTON NORTH,3026,VIC,MEL
LAVERTON RAAF,3027,VIC,MEL
WILLIAMS LANDING,3027,VIC,MEL
WILLIAMS RAAF,3027,VIC,MEL
ALTONA MEADOWS,3028,VIC,MEL
LAVERTON,3028,VIC,MEL
SEABROOK,3028,VIC,MEL
HOPPERS CROSSING,3029,VIC,MEL
TARNEIT,3029,VIC,MEL
TRUGANINA,3029,VIC,MEL
CHARTWELL,3030,VIC,MEL
DERRIMUT,3030,VIC,MEL
POINT COOK,3030,VIC,MEL
WERRIBEE,3030,VIC,MEL
WERRIBEE SOUTH,3030,VIC,MEL
FLEMINGTON,3031,VIC,MEL
KENSINGTON,3031,VIC,MEL
ASCOT VALE,3032,VIC,MEL
HIGHPOINT CITY,3032,VIC,MEL
MARIBYRNONG,3032,VIC,MEL
TRAVANCORE,3032,VIC,MEL
KEILOR EAST,3033,VIC,MEL
AVONDALE HEIGHTS,3034,VIC,MEL
KEILOR,3036,VIC,MEL
KEILOR NORTH,3036,VIC,MEL
CALDER PARK,3037,VIC,MEL
DELAHEY,3037,VIC,MEL
HILLSIDE,3037,VIC,MEL
PLUMPTON,3037,VIC,MEL
SYDENHAM,3037,VIC,MEL
TAYLORS HILL,3037,VIC,MEL
KEILOR DOWNS,3038,VIC,MEL
KEILOR LODGE,3038,VIC,MEL
TAYLORS LAKES,3038,VIC,MEL
MOONEE PONDS,3039,VIC,MEL
ABERFELDIE,3040,VIC,MEL
ESSENDON,3040,VIC,MEL
ESSENDON WEST,3040,VIC,MEL
ESSENDON FIELDS,3041,VIC,MEL
ESSENDON NORTH,3041,VIC,MEL
STRATHMORE,3041,VIC,MEL
STRATHMORE HEIGHTS,3041,VIC,MEL
AIRPORT WEST,3042,VIC,MEL
KEILOR PARK,3042,VIC,MEL
NIDDRIE,3042,VIC,MEL
GLADSTONE PARK,3043,VIC,MEL
GOWANBRAE,3043,VIC,MEL
TULLAMARINE,3043,VIC,MEL
PASCOE VALE,3044,VIC,MEL
PASCOE VALE SOUTH,3044,VIC,MEL
MELBOURNE AIRPORT,3045,VIC,MEL
GLENROY,3046,VIC,MEL
HADFIELD,3046,VIC,MEL
OAK PARK,3046,VIC,MEL
BROADMEADOWS,3047,VIC,MEL
DALLAS,3047,VIC,MEL
JACANA,3047,VIC,MEL
COOLAROO,3048,VIC,MEL
MEADOW HEIGHTS,3048,VIC,MEL
ATTWOOD,3049,VIC,MEL
CALDER PARK,3049,VIC,MEL
WESTMEADOWS,3049,VIC,MEL
ROYAL MELBOURNE HOSPITAL,3050,VIC,MEL
NORTH MELBOURNE,3051,VIC,MEL
MELBOURNE UNIVERSITY,3052,VIC,MEL
PARKVILLE,3052,VIC,MEL
CARLTON,3053,VIC,MEL
CARLTON SOUTH,3053,VIC,MEL
CARLTON NORTH,3054,VIC,MEL
PRINCES HILL,3054,VIC,MEL
BRUNSWICK SOUTH,3055,VIC,MEL
BRUNSWICK WEST,3055,VIC,MEL
MOONEE VALE,3055,VIC,MEL
MORELAND WEST,3055,VIC,MEL
BRUNSWICK,3056,VIC,MEL
BRUNSWICK LOWER,3056,VIC,MEL
BRUNSWICK NORTH,3056,VIC,MEL
BRUNSWICK EAST,3057,VIC,MEL
LYGON STREET NORTH,3057,VIC,MEL
MEADOW HEIGHTS,3057,VIC,MEL
COBURG,3058,VIC,MEL
COBURG NORTH,3058,VIC,MEL
MERLYNSTON,3058,VIC,MEL
MORELAND,3058,VIC,MEL
GREENVALE,3059,VIC,MEL
FAWKNER,3060,VIC,MEL
FAWKNER EAST,3060,VIC,MEL
FAWKNER NORTH,3060,VIC,MEL
CAMPBELLFIELD,3061,VIC,MEL
SOMERTON,3062,VIC,MEL
CRAIGIEBURN,3064,VIC,MEL
MICKLEHAM,3064,VIC,MEL
ROXBURGH PARK,3064,VIC,MEL
FITZROY,3065,VIC,MEL
COLLINGWOOD,3066,VIC,MEL
COLLINGWOOD NORTH,3066,VIC,MEL
ABBOTSFORD,3067,VIC,MEL
CLIFTON HILL,3068,VIC,MEL
FITZROY NORTH,3068,VIC,MEL
NORTHCOTE,3070,VIC,MEL
NORTHCOTE SOUTH,3070,VIC,MEL
THORNBURY,3071,VIC,MEL
NORTHLAND CENTRE,3072,VIC,MEL
PRESTON,3072,VIC,MEL
PRESTON SOUTH,3072,VIC,MEL
PRESTON WEST,3072,VIC,MEL
SYLVESTER,3072,VIC,MEL
KEON PARK,3073,VIC,MEL
RESERVOIR,3073,VIC,MEL
RESERVOIR EAST,3073,VIC,MEL
RESERVOIR NORTH,3073,VIC,MEL
RESERVOIR SOUTH,3073,VIC,MEL
THOMASTOWN,3074,VIC,MEL
LALOR,3075,VIC,MEL
LALOR PLAZA,3075,VIC,MEL
EPPING,3076,VIC,MEL
EPPING DC,3076,VIC,MEL
ALPHINGTON,3078,VIC,MEL
FAIRFIELD,3078,VIC,MEL
IVANHOE,3079,VIC,MEL
IVANHOE EAST,3079,VIC,MEL
IVANHOE NORTH,3079,VIC,MEL
BELLFIELD,3081,VIC,MEL
HEIDELBERG HEIGHTS,3081,VIC,MEL
HEIDELBERG RGH,3081,VIC,MEL
HEIDELBERG WEST,3081,VIC,MEL
MILL PARK,3082,VIC,MEL
BUNDOORA,3083,VIC,MEL
KINGSBURY,3083,VIC,MEL
LA TROBE UNIVERSITY,3083,VIC,MEL
EAGLEMONT,3084,VIC,MEL
HEIDELBERG,3084,VIC,MEL
ROSANNA,3084,VIC,MEL
VIEWBANK,3084,VIC,MEL
MACLEOD,3085,VIC,MEL
MACLEOD WEST,3085,VIC,MEL
YALLAMBIE,3085,VIC,MEL
LA TROBE UNIVERSITY,3086,VIC,MEL
WATSONIA,3087,VIC,MEL
WATSONIA NORTH,3087,VIC,MEL
BRIAR HILL,3088,VIC,MEL
GREENSBOROUGH,3088,VIC,MEL
SAINT HELENA,3088,VIC,MEL
ST HELENA,3088,VIC,MEL
LOWER PLENTY,3093,VIC,MEL
MONTMORENCY,3094,VIC,MEL
ELTHAM,3095,VIC,MEL
ELTHAM NORTH,3095,VIC,MEL
RESEARCH,3095,VIC,MEL
KEW,3101,VIC,MEL
KEW EAST,3102,VIC,MEL
BALWYN,3103,VIC,MEL
BALWYN EAST,3103,VIC,MEL
DEEPDENE,3103,VIC,MEL
DEEPDENE DC,3103,VIC,MEL
BALWYN NORTH,3104,VIC,MEL
GREYTHORN,3104,VIC,MEL
BULLEEN,3105,VIC,MEL
BULLEEN SOUTH,3105,VIC,MEL
TEMPLESTOWE,3106,VIC,MEL
TEMPLESTOWE LOWER,3107,VIC,MEL
DONCASTER,3108,VIC,MEL
DONCASTER EAST,3109,VIC,MEL
DONCASTER HEIGHTS,3109,VIC,MEL
NUNAWADING BC,3110,VIC,MEL
DONVALE,3111,VIC,MEL
CHIRNSIDE PARK,3116,VIC,MEL
BURNLEY,3121,VIC,MEL
BURNLEY NORTH,3121,VIC,MEL
CREMORNE,3121,VIC,MEL
RICHMOND,3121,VIC,MEL
RICHMOND EAST,3121,VIC,MEL
RICHMOND NORTH,3121,VIC,MEL
RICHMOND SOUTH,3121,VIC,MEL
VICTORIA GARDENS,3121,VIC,MEL
AUBURN SOUTH,3122,VIC,MEL
HAWTHORN,3122,VIC,MEL
HAWTHORN NORTH,3122,VIC,MEL
HAWTHORN WEST,3122,VIC,MEL
AUBURN,3123,VIC,MEL
HAWTHORN EAST,3123,VIC,MEL
CAMBERWELL,3124,VIC,MEL
CAMBERWELL NORTH,3124,VIC,MEL
CAMBERWELL SOUTH,3124,VIC,MEL
CAMBERWELL WEST,3124,VIC,MEL
HARTWELL,3124,VIC,MEL
MIDDLE CAMBERWELL,3124,VIC,MEL
BENNETSWOOD,3125,VIC,MEL
BURWOOD,3125,VIC,MEL
SURREY HILLS SOUTH,3125,VIC,MEL
CAMBERWELL EAST,3126,VIC,MEL
CANTERBURY,3126,VIC,MEL
MONT ALBERT,3127,VIC,MEL
SURREY HILLS,3127,VIC,MEL
SURREY HILLS NORTH,3127,VIC,MEL
BOX HILL,3128,VIC,MEL
BOX HILL CENTRAL,3128,VIC,MEL
BOX HILL SOUTH,3128,VIC,MEL
BOX HILL NORTH,3129,VIC,MEL
MONT ALBERT NORTH,3129,VIC,MEL
BLACKBURN,3130,VIC,MEL
BLACKBURN NORTH,3130,VIC,MEL
BLACKBURN SOUTH,3130,VIC,MEL
LABURNUM,3130,VIC,MEL
FOREST HILL,3131,VIC,MEL
NUNAWADING,3131,VIC,MEL
MITCHAM,3132,VIC,MEL
MITCHAM NORTH,3132,VIC,MEL
VERMONT,3133,VIC,MEL
VERMONT SOUTH,3133,VIC,MEL
RINGWOOD,3134,VIC,MEL
