SUBURB,POSTCODE,ComCat,Region
HEIDELBERG,3084,HEIDELBERG3084,MEL
HEIDELBERG HEIGHTS,3081,HEIDELBERG HEIGHTS3081,MEL
HEIDELBERG RGH,3081,HEIDELBERG RGH3081,MEL
HEIDELBERG WEST,3081,HEIDELBERG WEST3081,MEL
HELENA VALLEY,6056,HELENA VALLEY6056,PER
HELENS HILL,4850,HELENS HILL4850,TVL
HELENSBURGH,2508,HELENSBURGH2508,WOL
HELENSVALE,4212,HELENSVALE4212,GLD
HELENSVALE TOWN CENTRE,4212,HELENSVALE TOWN CENTRE4212,GLD
HELIDON,4344,HELIDON4344,TOO
HELIDON SPA,4344,HELIDON SPA4344,TOO
HEMMANT,4174,HEMMANT4174,BRI
HENDERSON,6166,HENDERSON6166,PER
HENDON,5014,HENDON5014,ADL
HENDRA,4011,HENDRA4011,BRI
HENLEY BEACH,5022,HENLEY BEACH5022,ADL
HENLEY BEACH SOUTH,5022,HENLEY BEACH SOUTH5022,ADL
HENLEY BROOK,6055,HENLEY BROOK6055,PER
HERDSMAN,6017,HERDSMAN6017,PER
HERITAGE PARK,4118,HERITAGE PARK4118,BRI
HERMIT PARK,4812,HERMIT PARK4812,TVL
HERNE HILL,3218,HERNE HILL3218,GEE
HERNE HILL,6056,HERNE HILL6056,PER
HERSTON,4006,HERSTON4006,BRI
HERVEY BAY,4655,HERVEY BAY4655,MYB
HERVEY BAY DC,4655,HERVEY BAY DC4655,MYB
HEWETT,5118,HEWETT5118,ADL
HEXHAM,2322,HEXHAM2322,NEW
HEYBRIDGE,7316,HEYBRIDGE7316,DPO
HIDDEN VALLEY,4703,HIDDEN VALLEY4703,CAP
HIGGINS,2615,HIGGINS2615,CBR
HIGH WYCOMBE,6057,HIGH WYCOMBE6057,PER
HIGHBURY,5089,HIGHBURY5089,ADL
HIGHETT,3190,HIGHETT3190,MEL
HIGHFIELDS,2289,HIGHFIELDS2289,NEW
HIGHFIELDS,4352,HIGHFIELDS4352,TOO
HIGHGATE,5063,HIGHGATE5063,ADL
HIGHGATE,6003,HIGHGATE6003,PER
HIGHGATE HILL,4101,HIGHGATE HILL4101,BRI
HIGHLAND PARK,4211,HIGHLAND PARK4211,GLD
HIGHPOINT CITY,3032,HIGHPOINT CITY3032,MEL
HIGHTON,3216,HIGHTON3216,GEE
HIGHWORTH,4560,HIGHWORTH4560,SUN
HILBERT,6112,HILBERT6112,PER
HILL TOP,2575,HILL TOP2575,WOL
HILLARYS,6025,HILLARYS6025,PER
HILLARYS,6923,HILLARYS6923,PER
HILLBANK,5112,HILLBANK5112,ADL
HILLCREST,4118,HILLCREST4118,BRI
HILLCREST,5086,HILLCREST5086,ADL
HILLCREST,7320,HILLCREST7320,DPO
HILLIER,5116,HILLIER5116,ADL
HILLMAN,6168,HILLMAN6168,PER
HILLSBOROUGH,2290,HILLSBOROUGH2290,NEW
HILLSIDE,3037,HILLSIDE3037,MEL
HILLWOOD,7252,HILLWOOD7252,LAU
HILTON,5033,HILTON5033,ADL
HILTON,6163,HILTON6163,PER
HILTON PLAZA,5033,HILTON PLAZA5033,ADL
HINDMARSH,5007,HINDMARSH5007,ADL
HMAS ALBATROSS,2540,HMAS ALBATROSS2540,WOL
HMAS HARMAN,2600,HMAS HARMAN2600,CBR
HOBART,7000,HOBART7000,TAS
HOBART,7001,HOBART7001,TAS
HOCKING,6065,HOCKING6065,PER
HODGSON VALE,4352,HODGSON VALE4352,TOO
HOLDEN HILL,5088,HOLDEN HILL5088,ADL
HOLDER,2611,HOLDER2611,CBR
HOLGATE,2250,HOLGATE2250,CCT
HOLLAND PARK,4121,HOLLAND PARK4121,BRI
HOLLAND PARK EAST,4121,HOLLAND PARK EAST4121,BRI
HOLLAND PARK WEST,4121,HOLLAND PARK WEST4121,BRI
HOLLOWAYS BEACH,4878,HOLLOWAYS BEACH4878,CNS
HOLLYWELL,4216,HOLLYWELL4216,GLD
HOLMESVILLE,2286,HOLMESVILLE2286,NEW
HOLMVIEW,4207,HOLMVIEW4207,BRI
HOLT,2615,HOLT2615,CBR
HOME HILL,4806,HOME HILL4806,TVL
HONEYWOOD,7017,HONEYWOOD7017,TAS
HOPE ISLAND,4212,HOPE ISLAND4212,GLD
HOPE VALLEY,5090,HOPE VALLEY5090,ADL
HOPE VALLEY,6165,HOPE VALLEY6165,PER
HOPETOUN PARK,3340,HOPETOUN PARK3340,MEL
HOPPERS CROSSING,3029,HOPPERS CROSSING3029,MEL
HORSESHOE BEND,2320,HORSESHOE BEND2320,NEW
HORSESHOE LAGOON,4809,HORSESHOE LAGOON4809,TVL
HORSFIELD BAY,2256,HORSFIELD BAY2256,CCT
HORSLEY,2530,HORSLEY2530,WOL
HOVE,5048,HOVE5048,ADL
HOVEA,6071,HOVEA6071,PER
HOWARD,4659,HOWARD4659,MYB
HOWDEN,7054,HOWDEN7054,TAS
HOWLONG,2643,HOWLONG2643,ALB
HOWRAH,7018,HOWRAH7018,TAS
HUGHES,2605,HUGHES2605,CBR
HUGHESDALE,3166,HUGHESDALE3166,MEL
HUME,2620,HUME2620,CBR
HUMPYBONG,4019,HUMPYBONG4019,BRI
HUNTER REGION MC,2310,HUNTER REGION MC2310,NEW
HUNTERVIEW,2330,HUNTERVIEW2330,NEW
HUNTFIELD HEIGHTS,5163,HUNTFIELD HEIGHTS5163,ADL
HUNTINGDALE,3166,HUNTINGDALE3166,MEL
HUNTINGDALE,6110,HUNTINGDALE6110,PER
HUNTINGFIELD,7055,HUNTINGFIELD7055,TAS
HUNTLEY,2530,HUNTLEY2530,WOL
HUNTLEY,2800,HUNTLEY2800,OAG
HUNTLY,3551,HUNTLY3551,BEN
HUON CREEK,3691,HUON CREEK3691,ALB
HUONVILLE,7109,HUONVILLE7109,TAS
HUTT STREET,5000,HUTT STREET5000,ADL
HUXLEY,4660,HUXLEY4660,BDB
HYDE PARK,4812,HYDE PARK4812,TVL
HYDE PARK,5061,HYDE PARK5061,ADL
HYDE PARK CASTLETOWN,4812,HYDE PARK CASTLETOWN4812,TVL
HYLAND PARK,2448,HYLAND PARK2448,CFS
IDALIA,4811,IDALIA4811,TVL
ILFRAVILLE,7270,ILFRAVILLE7270,LAU
ILKLEY,4554,ILKLEY4554,SUN
ILLAROO,2540,ILLAROO2540,WOL
ILUKA,6028,ILUKA6028,PER
IMAGE FLAT,4560,IMAGE FLAT4560,SUN
INALA,4077,INALA4077,BRI
INALA EAST,4077,INALA EAST4077,BRI
INALA HEIGHTS,4077,INALA HEIGHTS4077,BRI
INALA WEST,4077,INALA WEST4077,BRI
INDENTED HEAD,3223,INDENTED HEAD3223,GEE
INDIGO,3683,INDIGO3683,ALB
INDIGO UPPER,3688,INDIGO UPPER3688,ALB
INDOOROOPILLY,4068,INDOOROOPILLY4068,BRI
INDOOROOPILLY CENTRE,4068,INDOOROOPILLY CENTRE4068,BRI
INGHAM,4850,INGHAM4850,TVL
INGLE FARM,5098,INGLE FARM5098,ADL
INGLEWOOD,6052,INGLEWOOD6052,PER
INGLEWOOD,6932,INGLEWOOD6932,PER
INNALOO,6018,INNALOO6018,PER
INNALOO,6918,INNALOO6918,PER
INNES PARK,4670,INNES PARK4670,BDB
INNISFAIL,4860,INNISFAIL4860,CNS
INNISFAIL ESTATE,4860,INNISFAIL ESTATE4860,CNS
INVERESK,7248,INVERESK7248,LAU
INVERMAY,3352,INVERMAY3352,GEE
INVERMAY,7248,INVERMAY7248,LAU
INVERMAY PARK,3350,INVERMAY PARK3350,GEE
INVERNESS,4703,INVERNESS4703,CAP
IPSWICH,4305,IPSWICH4305,BRI
IRONBARK,3550,IRONBARK3550,BEN
IRONSIDE,4067,IRONSIDE4067,BRI
ISAACS,2607,ISAACS2607,CBR
ISABELLA PLAINS,2905,ISABELLA PLAINS2905,CBR
ISIS CENTRAL,4660,ISIS CENTRAL4660,BDB
ISLE OF CAPRI,4217,ISLE OF CAPRI4217,GLD
ISLINGTON,2296,ISLINGTON2296,NEW
ITHACA,4059,ITHACA4059,BRI
IVANHOE,3079,IVANHOE3079,MEL
IVANHOE,8576,IVANHOE8576,MEL
IVANHOE EAST,3079,IVANHOE EAST3079,MEL
IVANHOE NORTH,3079,IVANHOE NORTH3079,MEL
JACANA,3047,JACANA3047,MEL
JACKA,2914,JACKA2914,CBR
JACKASS FLAT,3556,JACKASS FLAT3556,BEN
JAMBEROO,2533,JAMBEROO2533,WOL
JAMBOREE HEIGHTS,4074,JAMBOREE HEIGHTS4074,BRI
JAMES COOK UNIVERSITY,4811,JAMES COOK UNIVERSITY4811,TVL
JAMISON CENTRE,2614,JAMISON CENTRE2614,CBR
JAN JUC,3228,JAN JUC3228,GEE
JANDAKOT,6164,JANDAKOT6164,PER
JANE BROOK,6056,JANE BROOK6056,PER
JASPERS BRUSH,2535,JASPERS BRUSH2535,WOL
JENSEN,4818,JENSEN4818,TVL
JERRABOMBERRA,2619,JERRABOMBERRA2619,CBR
JERRARA,2533,JERRARA2533,WOL
JESMOND,2299,JESMOND2299,NEW
JEWELLS,2280,JEWELLS2280,NEW
JIMBOOMBA,4280,JIMBOOMBA4280,BRI
JINDALEE,4074,JINDALEE4074,BRI
JINDALEE,6036,JINDALEE6036,PER
JINDERA,2642,JINDERA2642,ALB
JOLIMONT,6014,JOLIMONT6014,PER
JOLLY NOSE,2445,JOLLY NOSE2445,PQQ
JONES HILL,4570,JONES HILL4570,SUN
JOONDALUP,6027,JOONDALUP6027,PER
JOONDALUP DC,6027,JOONDALUP DC6027,PER
JOONDALUP DC,6919,JOONDALUP DC6919,PER
JOONDANNA,6060,JOONDANNA6060,PER
JOSLIN,5070,JOSLIN5070,ADL
JOYNER,4500,JOYNER4500,BRI
JUBILEE,4065,JUBILEE4065,BRI
JUBILEE POCKET,4802,JUBILEE POCKET4802,MKY
JULAGO,4816,JULAGO4816,TVL
JUNCTION HILL,2460,JUNCTION HILL2460,NTH
JUNCTION VILLAGE,3977,JUNCTION VILLAGE3977,MEL
JUNORTOUN,3551,JUNORTOUN3551,BEN
KAHIBAH,2290,KAHIBAH2290,NEW
KALAMIA,4807,KALAMIA4807,TVL
KALAMUNDA,6076,KALAMUNDA6076,PER
KALAMUNDA,6926,KALAMUNDA6926,PER
KALBEEBA,5118,KALBEEBA5118,ADL
KALEEN,2617,KALEEN2617,CBR
KALINGA,4030,KALINGA4030,BRI
KALKA,4701,KALKA4701,CAP
KALKIE,4670,KALKIE4670,BDB
KALLANGUR,4503,KALLANGUR4503,BRI
KALLAROO,6025,KALLAROO6025,PER
KAMBAH,2902,KAMBAH2902,CBR
KAMBAH VILLAGE,2902,KAMBAH VILLAGE2902,CBR
KAMERUNGA,4870,KAMERUNGA4870,CNS
KANAHOOKA,2530,KANAHOOKA2530,WOL
KANGAROO FLAT,3555,KANGAROO FLAT3555,BEN
KANGAROO POINT,4169,KANGAROO POINT4169,BRI
KANGY ANGY,2258,KANGY ANGY2258,CCT
KANIMBLA,4870,KANIMBLA4870,CNS
KANWAL,2259,KANWAL2259,CCT
KARABAR,2620,KARABAR2620,CBR
KARAWARA,6152,KARAWARA6152,PER
KARAWATHA,4117,KARAWATHA4117,BRI
KARDINYA,6163,KARDINYA6163,PER
KARINGAL,3199,KARINGAL3199,MEL
KARIONG,2250,KARIONG2250,CCT
KARNUP,6176,KARNUP6176,PER
KARRAKATTA,6010,KARRAKATTA6010,PER
KARRINYUP,6018,KARRINYUP6018,PER
KARRINYUP,6921,KARRINYUP6921,PER
KARUAH,2324,KARUAH2324,NEW
KATOOMBA,2780,KATOOMBA2780,SYD
KATOOMBA DC,2780,KATOOMBA DC2780,SYD
KAWANA,4701,KAWANA4701,CAP
KAWANA WATERS,4575,KAWANA WATERS4575,SUN
KAWUNGAN,4655,KAWUNGAN4655,MYB
KEALBA,3021,KEALBA3021,MEL
KEARNEYS SPRING,4350,KEARNEYS SPRING4350,TOO
KEARSLEY,2325,KEARSLEY2325,NEW
KEDRON,4031,KEDRON4031,BRI
KEDRON UPPER,4055,KEDRON UPPER4055,BRI
KEEBRA PARK,4215,KEEBRA PARK4215,GLD
KEILOR,3036,KEILOR3036,MEL
KEILOR DOWNS,3038,KEILOR DOWNS3038,MEL
KEILOR EAST,3033,KEILOR EAST3033,MEL
KEILOR LODGE,3038,KEILOR LODGE3038,MEL
KEILOR NORTH,3036,KEILOR NORTH3036,MEL
KEILOR PARK,3042,KEILOR PARK3042,MEL
KEINBAH,2320,KEINBAH2320,NEW
KEIRAVILLE,2500,KEIRAVILLE2500,WOL
KELMSCOTT,6111,KELMSCOTT6111,PER
KELMSCOTT,6991,KELMSCOTT6991,PER
KELMSCOTT DC,6111,KELMSCOTT DC6111,PER
KELMSCOTT DC,6997,KELMSCOTT DC6997,PER
KELSO,2795,KELSO2795,OAG
KELSO,4815,KELSO4815,TVL
KELVIN GROVE,4059,KELVIN GROVE4059,BRI
KELVIN GROVE BC,4059,KELVIN GROVE BC4059,BRI
KELVIN GROVE DC,4059,KELVIN GROVE DC4059,BRI
KEMBLA GRANGE,2526,KEMBLA GRANGE2526,WOL
KEMBLA HEIGHTS,2526,KEMBLA HEIGHTS2526,WOL
KEMP BEACH,4703,KEMP BEACH4703,CAP
KEMPSEY,2440,KEMPSEY2440,PQQ
KENDALL,2439,KENDALL2439,PQQ
KENMORE,4069,KENMORE4069,BRI
KENMORE DC,4069,KENMORE DC4069,BRI
KENMORE EAST,4069,KENMORE EAST4069,BRI
KENMORE HILLS,4069,KENMORE HILLS4069,BRI
KENNINGTON,3550,KENNINGTON3550,BEN
KENSINGTON,3031,KENSINGTON3031,MEL
KENSINGTON,4670,KENSINGTON4670,BDB
KENSINGTON,5068,KENSINGTON5068,ADL
KENSINGTON,6151,KENSINGTON6151,PER
KENSINGTON GARDENS,5068,KENSINGTON GARDENS5068,ADL
KENSINGTON GROVE,4341,KENSINGTON GROVE4341,TOO
KENSINGTON PARK,5068,KENSINGTON PARK5068,ADL
KENT TOWN,5067,KENT TOWN5067,ADL
KENT TOWN,5071,KENT TOWN5071,ADL
KENT TOWN DC,5071,KENT TOWN DC5071,ADL
KENWICK,6107,KENWICK6107,PER
KEON PARK,3073,KEON PARK3073,MEL
KEPERRA,4054,KEPERRA4054,BRI
KEPNOCK,4670,KEPNOCK4670,BDB
KERRYDALE,4226,KERRYDALE4226,GLD
KESWICK,5035,KESWICK5035,ADL
KESWICK TERMINAL,5035,KESWICK TERMINAL5035,ADL
KEW,2439,KEW2439,PQQ
KEW,3101,KEW3101,MEL
KEW EAST,3102,KEW EAST3102,MEL
KEWARRA BEACH,4879,KEWARRA BEACH4879,CNS
KEWDALE,6105,KEWDALE6105,PER
KEYSBOROUGH,3173,KEYSBOROUGH3173,MEL
KIAMA,2533,KIAMA2533,WOL
KIAMA DOWNS,2533,KIAMA DOWNS2533,WOL
KIAMA HEIGHTS,2533,KIAMA HEIGHTS2533,WOL
KIARA,6054,KIARA6054,PER
KIDMAN PARK,5025,KIDMAN PARK5025,ADL
KIELS MOUNTAIN,4559,KIELS MOUNTAIN4559,SUN
KIEWA,3691,KIEWA3691,ALB
KILABEN BAY,2283,KILABEN BAY2283,NEW
KILBURN,5084,KILBURN5084,ADL
KILBURN NORTH,5084,KILBURN NORTH5084,ADL
KILKENNY,5009,KILKENNY5009,ADL
KILLALOE,4877,KILLALOE4877,CNS
KILLARA,3691,KILLARA3691,ALB
KILLARNEY VALE,2261,KILLARNEY VALE2261,CCT
KILLCARE,2257,KILLCARE2257,CCT
KILLCARE HEIGHTS,2257,KILLCARE HEIGHTS2257,CCT
KILLINGWORTH,2278,KILLINGWORTH2278,NEW
KILSYTH,3137,KILSYTH3137,MEL
KILSYTH SOUTH,3137,KILSYTH SOUTH3137,MEL
KIMBERLEY PARK,4128,KIMBERLEY PARK4128,BRI
KINCUMBER,2251,KINCUMBER2251,CCT
KINCUMBER SOUTH,2251,KINCUMBER SOUTH2251,CCT
KING CREEK,2446,KING CREEK2446,PQQ
KINGFISHER SHORES,2259,KINGFISHER SHORES2259,CCT
KINGS BEACH,4551,KINGS BEACH4551,SUN
KINGS MEADOWS,7249,KINGS MEADOWS7249,LAU
KINGS PARK,3021,KINGS PARK3021,MEL
KINGS PARK,5034,KINGS PARK5034,ADL
KINGS PARK,6005,KINGS PARK6005,PER
KINGSBURY,3083,KINGSBURY3083,MEL
KINGSCLIFF,2487,KINGSCLIFF2487,GLD
KINGSFORD,5118,KINGSFORD5118,ADL
KINGSLEY,6026,KINGSLEY6026,PER
KINGSTHORPE,4400,KINGSTHORPE4400,TOO
KINGSTON,2604,KINGSTON2604,CBR
KINGSTON,4114,KINGSTON4114,BRI
KINGSTON,7050,KINGSTON7050,TAS
KINGSTON,7051,KINGSTON7051,TAS
KINGSTON BEACH,7050,KINGSTON BEACH7050,TAS
KINGSTON PARK,5049,KINGSTON PARK5049,ADL
KINGSVILLE,3012,KINGSVILLE3012,MEL
KINGSVILLE WEST,3012,KINGSVILLE WEST3012,MEL
KINGSWAY,6065,KINGSWAY6065,PER
KINGSWOOD,5062,KINGSWOOD5062,ADL
KINKA BEACH,4703,KINKA BEACH4703,CAP
KINROSS,6028,KINROSS6028,PER
KIPPA-RING,4021,KIPPA-RING4021,BRI
KIPPAX,2615,KIPPAX2615,CBR
KIPPAX CENTRE,2615,KIPPAX CENTRE2615,CBR
KIRKCALDY,5022,KIRKCALDY5022,ADL
KIRRA,4225,KIRRA4225,GLD
KIRWAN,4817,KIRWAN4817,TVL
KIWARRAK,2430,KIWARRAK2430,PQQ
KLEINTON,4352,KLEINTON4352,TOO
KLEMZIG,5087,KLEMZIG5087,ADL
KNOX CITY CENTRE,3152,KNOX CITY CENTRE3152,MEL
KNOXFIELD,3180,KNOXFIELD3180,MEL
KOLODONG,2430,KOLODONG2430,PQQ
KOMUNGLA,2580,KOMUNGLA2580,CBR
KOOLEWONG,2256,KOOLEWONG2256,CCT
KOONAWARRA,2530,KOONAWARRA2530,WOL
KOONDOOLA,6064,KOONDOOLA6064,PER
KOONGAL,4701,KOONGAL4701,CAP
KOONGAMIA,6056,KOONGAMIA6056,PER
KOORAGANG,2304,KOORAGANG2304,NEW
KOORAINGHAT,2430,KOORAINGHAT2430,PQQ
KOORINGAL,2650,KOORINGAL2650,YNG
KOOYONG,3144,KOOYONG3144,MEL
KORORA,2450,KORORA2450,CFS
KOTARA,2289,KOTARA2289,NEW
KOTARA EAST,2305,KOTARA EAST2305,NEW
KOTARA FAIR,2289,KOTARA FAIR2289,NEW
KOTARA SOUTH,2289,KOTARA SOUTH2289,NEW
KRONDORF,5352,KRONDORF5352,ADL
KUDLA,5115,KUDLA5115,ADL
KULANGOOR,4560,KULANGOOR4560,SUN
KULUIN,4558,KULUIN4558,SUN
KUNDA PARK,4556,KUNDA PARK4556,SUN
KURABY,4112,KURABY4112,BRI
KURANDA,4881,KURANDA4881,CNS
KUREELPA,4560,KUREELPA4560,SUN
KURRALTA PARK,5037,KURRALTA PARK5037,ADL
KURRI KURRI,2327,KURRI KURRI2327,NEW
KURUNJANG,3337,KURUNJANG3337,MEL
KURWONGBAH,4503,KURWONGBAH4503,BRI
KWINANA,6966,KWINANA6966,PER
KWINANA BEACH,6167,KWINANA BEACH6167,PER
KWINANA TOWN CENTRE,6167,KWINANA TOWN CENTRE6167,PER
KYOGLE,2474,KYOGLE2474,NTH
LA TROBE UNIVERSITY,3083,LA TROBE UNIVERSITY3083,MEL
LA TROBE UNIVERSITY,3086,LA TROBE UNIVERSITY3086,MEL
LABRADOR,4215,LABRADOR4215,GLD
LABURNUM,3130,LABURNUM3130,MEL
LAIDLEY,4341,LAIDLEY4341,TOO
LAIDLEY HEIGHTS,4341,LAIDLEY HEIGHTS4341,TOO
LAIDLEY NORTH,4341,LAIDLEY NORTH4341,TOO
LAKE ALBERT,2650,LAKE ALBERT2650,YNG
LAKE CATHIE,2445,LAKE CATHIE2445,PQQ
LAKE GARDENS,3355,LAKE GARDENS3355,GEE
LAKE HAVEN,2263,LAKE HAVEN2263,CCT
LAKE HEIGHTS,2502,LAKE HEIGHTS2502,WOL
LAKE ILLAWARRA,2528,LAKE ILLAWARRA2528,WOL
LAKE INNES,2446,LAKE INNES2446,PQQ
LAKE MOODEMERE,3685,LAKE MOODEMERE3685,ALB
LAKE MUNMORAH,2259,LAKE MUNMORAH2259,CCT
LAKE PLACID,4878,LAKE PLACID4878,CNS
LAKE WENDOUREE,3350,LAKE WENDOUREE3350,GEE
LAKELANDS,2282,LAKELANDS2282,NEW
LAKELANDS,6180,LAKELANDS6180,PER
LAKELANDS,6210,LAKELANDS6210,PER
LAKES CREEK,4701,LAKES CREEK4701,CAP
LAKEWOOD,2443,LAKEWOOD2443,PQQ
LALOR,3075,LALOR3075,MEL
LALOR PLAZA,3075,LALOR PLAZA3075,MEL
LAMBTON,2299,LAMBTON2299,NEW
LAMMERMOOR,4703,LAMMERMOOR4703,CAP
LAMMERMOOR BEACH,4703,LAMMERMOOR BEACH4703,CAP
LANDSBOROUGH,4550,LANDSBOROUGH4550,SUN
LANDSDALE,6065,LANDSDALE6065,PER
LANENA,7275,LANENA7275,LAU
LANGFORD,6147,LANGFORD6147,PER
LANGWARRIN,3910,LANGWARRIN3910,MEL
LANGWARRIN SOUTH,3911,LANGWARRIN SOUTH3911,MEL
LANSELL PLAZA,3555,LANSELL PLAZA3555,BEN
LAPSTONE,2773,LAPSTONE2773,SYD
LARA,3212,LARA3212,GEE
LARAPINTA,4110,LARAPINTA4110,BRI
LARGS,2320,LARGS2320,NEW
LARGS BAY,5016,LARGS BAY5016,ADL
LARGS NORTH,5016,LARGS NORTH5016,ADL
LATHAM,2615,LATHAM2615,CBR
LATHLAIN,6100,LATHLAIN6100,PER
LATIMER,4211,LATIMER4211,BRI
LATROBE,7307,LATROBE7307,DPO
LAUDERDALE,7021,LAUDERDALE7021,TAS
LAUNCESTON,7250,LAUNCESTON7250,LAU
LAUNCESTON,7901,LAUNCESTON7901,LAU
LAUNCESTON,7902,LAUNCESTON7902,LAU
LAUNCESTON,7903,LAUNCESTON7903,LAU
LAUNCESTON,7904,LAUNCESTON7904,LAU
LAUNCESTON,7905,LAUNCESTON7905,LAU
LAUNCESTON,7906,LAUNCESTON7906,LAU
LAUNCESTON,7907,LAUNCESTON7907,LAU
LAUNCESTON,7908,LAUNCESTON7908,LAU
LAUNCESTON,7909,LAUNCESTON7909,LAU
LAURIETON,2443,LAURIETON2443,PQQ
LAVERTON,3028,LAVERTON3028,MEL
LAVERTON NORTH,3026,LAVERTON NORTH3026,MEL
LAVERTON RAAF,3027,LAVERTON RAAF3027,MEL
LAVINGTON,2641,LAVINGTON2641,ALB
LAVINGTON DC,2640,LAVINGTON DC2640,ALB
LAW COURTS,8010,LAW COURTS8010,MEL
LAWNTON,4501,LAWNTON4501,BRI
LAWSON,2617,LAWSON2617,CBR
LAWSON,2783,LAWSON2783,SYD
LEABROOK,5068,LEABROOK5068,ADL
LEDA,6170,LEDA6170,PER
LEEDERVILLE,6007,LEEDERVILLE6007,PER
LEEDERVILLE,6900,LEEDERVILLE6900,PER
LEEDERVILLE,6902,LEEDERVILLE6902,PER
LEEDERVILLE,6903,LEEDERVILLE6903,PER
LEEMING,6149,LEEMING6149,PER
LEETON,2705,LEETON2705,YNG
LEGANA,7277,LEGANA7277,LAU
LEICHHARDT,4305,LEICHHARDT4305,BRI
LEITH,7315,LEITH7315,DPO
LEMON TREE PASSAGE,2319,LEMON TREE PASSAGE2319,NEW
LENAGHAN,2322,LENAGHAN2322,NEW
LENAH VALLEY,7008,LENAH VALLEY7008,TAS
LENEVA,3691,LENEVA3691,ALB
LENNOX HEAD,2478,LENNOX HEAD2478,NTH
LEOPOLD,3224,LEOPOLD3224,GEE
LESMURDIE,6076,LESMURDIE6076,PER
LEURA,2780,LEURA2780,SYD
LIDDELL,2333,LIDDELL2333,NEW
LIGHTHOUSE BEACH,2444,LIGHTHOUSE BEACH2444,PQQ
LIGHTSVIEW,5085,LIGHTSVIEW5085,ADL
LILYDALE,3140,LILYDALE3140,MEL
LIMESTONE CREEK,4701,LIMESTONE CREEK4701,CAP
LINDEN,2778,LINDEN2778,SYD
LINDEN PARK,5065,LINDEN PARK5065,ADL
LINDISFARNE,7015,LINDISFARNE7015,TAS
LINDUM,4178,LINDUM4178,BRI
LISAROW,2250,LISAROW2250,CCT
LISMORE,2480,LISMORE2480,NTH
LISMORE HEIGHTS,2480,LISMORE HEIGHTS2480,NTH
LISSNER,4820,LISSNER4820,TVL
LITTLE COVE,4567,LITTLE COVE4567,SUN
LITTLE LONSDALE STREET,8011,LITTLE LONSDALE STREET8011,MEL
LITTLE MOUNTAIN,4551,LITTLE MOUNTAIN4551,SUN
LITTLE PELICAN,2281,LITTLE PELICAN2281,NEW
LLANARTH,2795,LLANARTH2795,OAG
LLOYD,2650,LLOYD2650,YNG
LOCHINVAR,2321,LOCHINVAR2321,NEW
LOCKLEYS,5032,LOCKLEYS5032,ADL
LOCKRIDGE,6054,LOCKRIDGE6054,PER
LOCKROSE,4342,LOCKROSE4342,TOO
LOGAN CENTRAL,4114,LOGAN CENTRAL4114,BRI
LOGAN CITY BC,4114,LOGAN CITY BC4114,BRI
LOGAN CITY DC,4114,LOGAN CITY DC4114,BRI
LOGAN HYPERDOME BC,4128,LOGAN HYPERDOME BC4128,BRI
LOGAN RESERVE,4133,LOGAN RESERVE4133,BRI
LOGAN VILLAGE,4207,LOGAN VILLAGE4207,BRI
LOGANDALE,4129,LOGANDALE4129,BRI
LOGANHOLME,4129,LOGANHOLME4129,BRI
LOGANHOLME BC,4129,LOGANHOLME BC4129,BRI
LOGANHOLME DC,4129,LOGANHOLME DC4129,BRI
LOGANLEA,4131,LOGANLEA4131,BRI
LOIRA,7275,LOIRA7275,LAU
LONE PINE,4069,LONE PINE4069,BRI
LONG FOREST,3340,LONG FOREST3340,MEL
LONG GULLY,3550,LONG GULLY3550,BEN
LONG JETTY,2261,LONG JETTY2261,CCT
LONG POCKET,4068,LONG POCKET4068,BRI
LONG REACH,7253,LONG REACH7253,LAU
LONGFORD,7301,LONGFORD7301,LAU
LONSDALE,5160,LONSDALE5160,ADL
LONSDALE DC,5160,LONSDALE DC5160,ADL
LORETO HILL,4120,LORETO HILL4120,BRI
LORN,2320,LORN2320,NEW
LOTA,4179,LOTA4179,BRI
LOUISA CREEK,4740,LOUISA CREEK4740,MKY
LOUTH PARK,2320,LOUTH PARK2320,NEW
LOVEDALE,2325,LOVEDALE2325,NEW
LOVELY BANKS,3213,LOVELY BANKS3213,GEE
LOW HEAD,7253,LOW HEAD7253,LAU
LOWER BELFORD,2335,LOWER BELFORD2335,NEW
LOWER MITCHAM,5062,LOWER MITCHAM5062,ADL
LOWER PLENTY,3093,LOWER PLENTY3093,MEL
LOWER SANDY BAY,7005,LOWER SANDY BAY7005,TAS
LOWOOD,4311,LOWOOD4311,TOO
LOXFORD,2326,LOXFORD2326,NEW
LUCAS,3350,LUCAS3350,GEE
LUCKNOW,2800,LUCKNOW2800,OAG
LUSCOMBE,4207,LUSCOMBE4207,BRI
LUTANA,7009,LUTANA7009,TAS
LUTWYCHE,4030,LUTWYCHE4030,BRI
LYGON STREET NORTH,3057,LYGON STREET NORTH3057,MEL
LYNBROOK,3975,LYNBROOK3975,MEL
LYNDHURST,3975,LYNDHURST3975,MEL
LYNDOCH,5351,LYNDOCH5351,ADL
LYNEHAM,2602,LYNEHAM2602,CBR
LYNTON,5062,LYNTON5062,ADL
LYNWOOD,4660,LYNWOOD4660,BDB
LYNWOOD,6147,LYNWOOD6147,PER
LYONS,2606,LYONS2606,CBR
LYSTERFIELD,3156,LYSTERFIELD3156,MEL
LYSTERFIELD SOUTH,3156,LYSTERFIELD SOUTH3156,MEL
LYTTON,4178,LYTTON4178,BRI
