SUBURB,POSTCODE,ComCat,Region
CECIL HILLS,2171,CECIL HILLS2171,SYD
CECIL PARK,2178,CECIL PARK2178,SYD
CENTENNIAL PARK,2021,CENTENNIAL PARK2021,SYD
CHARING CROSS,2024,CHARING CROSS2024,SYD
CHATSWOOD,2057,CHATSWOOD2057,SYD
CHATSWOOD,2067,CHATSWOOD2067,SYD
CHATSWOOD WEST,2067,CHATSWOOD WEST2067,SYD
CHELTENHAM,2119,CHELTENHAM2119,SYD
CHERRYBROOK,2126,CHERRYBROOK2126,SYD
CHESTER HILL,2162,CHESTER HILL2162,SYD
CHIFLEY,2036,CHIFLEY2036,SYD
CHIPPENDALE,2008,CHIPPENDALE2008,SYD
CHIPPING NORTON,2170,CHIPPING NORTON2170,SYD
CHISWICK,2046,CHISWICK2046,SYD
CHULLORA,2190,CHULLORA2190,SYD
CHURCH POINT,2105,CHURCH POINT2105,SYD
CLAREMONT MEADOWS,2747,CLAREMONT MEADOWS2747,SYD
CLARENDON,2756,CLARENDON2756,SYD
CLAREVILLE,2107,CLAREVILLE2107,SYD
CLAYMORE,2559,CLAYMORE2559,SYD
CLEMTON PARK,2206,CLEMTON PARK2206,SYD
CLONTARF,2093,CLONTARF2093,SYD
CLOVELLY,2031,CLOVELLY2031,SYD
CLOVELLY WEST,2031,CLOVELLY WEST2031,SYD
CLYDE,2142,CLYDE2142,SYD
COBBITTY,2570,COBBITTY2570,SYD
COLEBEE,2761,COLEBEE2761,SYD
COLLAROY,2097,COLLAROY2097,SYD
COLLAROY BEACH,2097,COLLAROY BEACH2097,SYD
COLLAROY PLATEAU,2097,COLLAROY PLATEAU2097,SYD
COLLAROY PLATEAU WEST,2097,COLLAROY PLATEAU WEST2097,SYD
COLYTON,2760,COLYTON2760,SYD
COMO,2226,COMO2226,SYD
CONCORD,2137,CONCORD2137,SYD
CONCORD REPATRIATION HOSPITAL,2139,CONCORD REPATRIATION HOSPITAL2139,SYD
CONCORD WEST,2138,CONCORD WEST2138,SYD
CONDELL PARK,2200,CONDELL PARK2200,SYD
CONNELLS POINT,2221,CONNELLS POINT2221,SYD
CONSTITUTION HILL,2145,CONSTITUTION HILL2145,SYD
COOGEE,2034,COOGEE2034,SYD
CRANEBROOK,2749,CRANEBROOK2749,SYD
CREMORNE,2090,CREMORNE2090,SYD
CREMORNE JUNCTION,2090,CREMORNE JUNCTION2090,SYD
CREMORNE POINT,2090,CREMORNE POINT2090,SYD
CRESTWOOD,2153,CRESTWOOD2153,SYD
CROMER,2099,CROMER2099,SYD
CROMER HEIGHTS,2099,CROMER HEIGHTS2099,SYD
CRONULLA,2230,CRONULLA2230,SYD
CROWS NEST,2065,CROWS NEST2065,SYD
CROYDON,2132,CROYDON2132,SYD
CROYDON PARK,2133,CROYDON PARK2133,SYD
CURL CURL,2096,CURL CURL2096,SYD
CURRANS HILL,2567,CURRANS HILL2567,SYD
DACEYVILLE,2032,DACEYVILLE2032,SYD
DARLING HARBOUR,2000,DARLING HARBOUR2000,SYD
DARLING ISLAND,2009,DARLING ISLAND2009,SYD
DARLING POINT,2027,DARLING POINT2027,SYD
DARLINGHURST,2010,DARLINGHURST2010,SYD
DARLINGTON,2008,DARLINGTON2008,SYD
